id,Nome,Energia (kcal),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cálcio (mg),Magnésio (mg)
550,Tacacá,47,7.0,0.4,71,3.4,0.2,45,30
551,Tapioca com manteiga,348,0.1,10.9,31,63.6,Tr,30,3
552,Tucupi com pimenta-de-cheiro,27,2.1,0.3,NA,4.7,0.2,28,42
553,Vaca atolada,145,5.1,9.3,19,10.1,2.3,63,16
554,Vatapá,255,6.0,23.2,44,9.7,1.7,47,39
555,Virado à paulista,307,10.2,25.6,66,14.1,2.2,41,22
556,Yakisoba,113,7.5,2.6,NA,18.3,1.1,14,13
558,Amendoim torrado salgado,606,22.5,54.0,NA,18.7,7.8,39,159
559,Ervilha em vagem,88,7.5,0.5,NA,14.2,9.7,24,42
560,Ervilha enlatada drenada,74,4.6,0.4,NA,13.4,5.1,22,23
561,Feijão carioca cozido,76,4.8,0.5,NA,13.6,8.5,27,42
563,Feijão fradinho cozido,78,5.1,0.6,NA,13.5,7.5,17,38
565,Feijão jalo cozido,93,6.1,0.5,NA,16.5,13.9,29,44
567,Feijão preto cozido,77,4.5,0.5,NA,14.0,8.4,29,40
569,Feijão rajado cozido,85,5.5,0.4,NA,15.3,9.3,29,42
571,Feijão rosinha cozido,68,4.5,0.5,NA,11.8,4.8,19,43
573,Feijão roxo cozido,77,5.7,0.5,NA,12.9,11.5,23,34
577,Lentilha cozida,93,6.3,0.5,NA,16.3,7.9,16,22
579,Paçoca amendoim,487,16.0,26.1,NA,52.4,7.3,22,101
580,Pé-de-moleque amendoim,503,13.2,28.0,NA,54.7,3.4,27,108
581,Soja farinha,404,36.0,14.6,NA,38.4,20.2,206,242
582,Soja extrato solúvel natural fluido,39,2.4,1.6,NA,4.3,0.4,17,15
583,Soja extrato solúvel pó,459,35.7,26.2,NA,28.5,7.3,359,216
584,Soja queijo (tofu),64,6.6,4.0,NA,2.1,0.8,81,38
586,Tremoço em conserva,121,11.1,3.8,NA,12.4,14.4,16,4
587,Amêndoa torrada salgada,581,18.6,47.3,NA,29.5,11.6,237,222
584,Soja queijo (tofu),64,6.6,4.0,NA,2.1,0.8,81,38
586,Tremoço em conserva,121,11.1,3.8,NA,12.4,14.4,16,4
587,Amêndoa torrada salgada,581,18.6,47.3,NA,29.5,11.6,237,222
588,Castanha-de-caju torrada salgada,570,18.5,46.3,NA,29.1,3.7,33,237
593,Gergelim semente,584,21.2,50.4,NA,21.6,11.9,825,361
